size,html_len,number_of_links,number_of_buttons,number_of_inputs,number_of_ul,number_of_ol,number_of_lists,number_of_h1,number_of_h2,total_h1_len,total_h2_len,avg_h1_len,avg_h2_len,number_of_images,number_of_tags,number_of_unique_tags,textdata
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
143769,47898,150,3,13,3,0,3,1,1,84,8,84.0,8.0,69,660,32,nibiru final warning âjust how long does earth have left before planet x doomâ comments
77764,38845,44,0,5,2,0,2,2,1,73,29,36.5,29.0,13,294,30,in 2000 the simpsons predicted the donald trump presidency post navigation subscribe to our mailing list
146085,48670,152,3,11,2,0,2,1,1,87,8,87.0,8.0,64,646,30,are dems’ latenight sock puppets a sign that the fairness doctrine should be restored comments
225987,75304,182,3,19,6,0,6,1,1,113,8,113.0,8.0,87,822,34,very violent reversal before end of 2017 north korea thinks us is bluffing â james rickards greg hunter video comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
76756,38341,43,0,5,2,0,2,2,1,99,29,49.5,29.0,13,290,30,mom puts glasses on her baby – watch her face as she sees her dad for the first time post navigation subscribe to our mailing list
59652,19859,48,1,2,5,0,5,2,0,105,0,52.5,0.0,7,192,24,we cant find that page yet feel free to let us know about it maybe we have what youre looking for here
148857,49594,155,3,11,2,0,2,1,1,51,8,51.0,8.0,68,660,31,lawrence thomas officially makes switch to fullback comments
139947,46624,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,las vegas shooting makes country guitarist change his mind on guns comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
147651,49192,148,3,11,2,0,2,1,1,54,8,54.0,8.0,64,658,31,some tips for selecting the best flower bouquet online comments
144867,48264,147,3,11,2,0,2,1,1,61,8,61.0,8.0,65,645,31,kids fitnessget the kids off the couch have some fun comments
1314,421,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
139647,46524,149,3,11,2,0,2,1,1,47,8,47.0,8.0,65,639,30,where is president trump’s sense of compassion comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
139461,46462,149,3,11,2,0,2,1,1,61,8,61.0,8.0,65,639,30,jimmy kimmel weeps as he talks about shooting in his hometown comments
81268,40597,44,0,5,2,0,2,2,1,67,29,33.5,29.0,14,305,31,mom fights back home invaders on detroits west side a detroit mother opened fire monday night when 3 suspect broke into her home mom fights back home invaders on detroit’s west side post navigation subscribe to our mailing list
145134,48353,153,3,11,2,0,2,1,1,66,8,66.0,8.0,66,653,31,gatekeeper invades the 312 podcastto preview the blackhawks season comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
153021,50982,150,3,11,5,0,5,1,1,85,8,85.0,8.0,66,666,32,105 trspnc park bucs win in 71 79 lose four playoffs dang reds tracy fired comments
144357,48094,147,3,11,2,0,2,1,1,45,8,45.0,8.0,64,632,31,broken2th and crystal sun release castaliah comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
150657,50194,156,3,11,2,0,2,1,1,43,8,43.0,8.0,70,687,31,a look at the thursday night football games comments
82288,41107,42,0,5,2,1,3,2,1,76,29,38.0,29.0,14,333,30,some had been carrying the living male dna inside them for well over 50 years sperm is alive it is living cells women absorb and retain dna from every man they have sex with post navigation subscribe to our mailing list
148191,49372,157,3,11,2,0,2,1,1,61,8,61.0,8.0,68,663,32,cowboys wr dez bryant â team done with anthem demonstations comments
155364,51763,149,3,11,2,0,2,1,1,33,8,33.0,8.0,65,658,32,fsu opponent preview wake forest comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
147042,48989,149,3,11,2,0,2,1,1,41,8,41.0,8.0,65,639,30,2017 nlds will max scherzer miss game 1 comments
165375,55100,151,3,11,2,0,2,1,2,78,88,78.0,44.0,64,732,32,the shocking carol woods coverup police alter records archive 11 sept 2017 the shocking carol woods coverup police alter records â 11 sept 17 archive comments
144705,48210,153,3,11,2,0,2,1,1,28,8,28.0,8.0,68,650,30,tailgate â jaguars vs jets comments
154353,51426,154,3,11,2,0,2,1,1,48,8,48.0,8.0,70,695,31,2017 get âem or donât sweat âem â week 4 comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
155691,51872,160,3,11,2,0,2,1,1,69,8,69.0,8.0,64,669,32,john elway says that itâs time to take the politics out of football comments
140382,46769,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,employers can now refuse to pay for birth control thanks to trump comments
139971,46632,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,teacher told students they were ‘too darkskinned’ to play lincoln comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
140901,46942,150,3,11,2,0,2,1,1,29,8,29.0,8.0,65,639,30,secrets of the super elements comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
140349,46758,149,3,11,2,0,2,1,1,61,8,61.0,8.0,65,639,30,rich would benefit most from trump tax cut plan policy group comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
144141,48022,155,3,11,2,0,2,1,1,39,8,39.0,8.0,64,646,31,ray says he was praying not protesting comments
140097,46674,149,3,11,2,0,2,1,1,68,8,68.0,8.0,65,639,30,kneeling for the national anthem isn’t disrespectful it’s patriotic comments
163920,54615,149,3,11,2,0,2,1,1,140,8,140.0,8.0,64,704,32,the âsweet seasonâ in coming up but with good habits and careful monitoring teeth problems can be avoided according to gilroy dentist comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
139974,46633,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,this high school is threatening to ban players who kneel during anthem comments
139839,46588,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,republican wants women to be ‘traditional homemakers and family wives’ comments
137616,45847,147,3,11,2,0,2,1,1,39,8,39.0,8.0,64,633,30,helicopter money coming michael pento comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
82996,41461,43,0,5,2,0,2,2,1,81,29,40.5,29.0,14,301,28,video released of elderly german captive beheaded by islamic state post navigation subscribe to our mailing list
177399,59108,166,3,11,2,0,2,1,1,36,8,36.0,8.0,72,741,33,the yankees live to see another day comments
148320,49415,155,3,11,2,0,2,1,1,50,8,50.0,8.0,64,657,30,‘fixed upper’ stars announce final season – really comments
155721,51882,158,3,13,3,0,3,1,1,51,8,51.0,8.0,72,686,32,us to cut embassy staff warn travelers from cuba comments
145659,48528,148,3,11,2,0,2,1,1,92,8,92.0,8.0,65,649,30,las vegas bombshell video shows second shooter during vegas massacre the alex jones channel comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
144879,48268,151,3,11,2,0,2,1,1,60,8,60.0,8.0,64,645,30,nfl malcontent marshawn lynch wears antitrump shirt to game comments
139839,46588,147,3,11,2,0,2,1,1,13,8,13.0,8.0,64,632,31,blue martinez comments
140007,46644,149,3,11,2,0,2,1,1,68,8,68.0,8.0,65,639,30,avid hunter don jr on gun silencers ‘its just a great instrument’ comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
140634,46853,150,3,11,2,0,2,1,1,19,8,19.0,8.0,65,639,30,the castration cure comments
146100,48675,148,3,11,2,0,2,1,1,71,8,71.0,8.0,64,657,34,streaming defenses 2016 week 4 which offense do we want to exploit comments
139791,46572,149,3,11,2,0,2,1,1,48,8,48.0,8.0,65,639,30,judge awards alleged rapist with parental rights comments
172977,57634,163,3,11,2,0,2,1,1,40,8,40.0,8.0,72,732,33,just shut up play some damn baseball comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
142899,47608,149,3,11,2,0,2,1,1,12,8,12.0,8.0,64,643,30,hangover win comments
161403,53776,158,3,11,2,0,2,1,1,45,8,45.0,8.0,68,695,32,50 the inspirational journey of aaron judge comments
140886,46937,150,3,11,2,0,2,1,1,30,8,30.0,8.0,65,639,30,quantum computer in a nutshell comments
149790,49905,161,3,11,3,0,3,1,1,48,8,48.0,8.0,70,694,30,2017 fantasy football kicker rankings â week 5 comments
152871,50932,151,3,11,2,0,2,1,1,13,8,13.0,8.0,64,666,31,come together comments
161010,53645,163,3,11,2,0,2,1,1,31,8,31.0,8.0,78,685,33,game photos michigan at purdue comments
145443,48456,152,3,11,2,0,2,1,1,64,8,64.0,8.0,64,647,30,can boston red sox recover from epic beatdown by houston astros comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
146271,48732,153,3,11,2,0,2,1,1,75,8,75.0,8.0,64,657,32,house republicans answers ‘why does tax reform matter to you’ in new video comments
140076,46667,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,a poor chinese intern may have been forced to make your branded laptop comments
139968,46631,149,3,11,2,0,2,1,1,68,8,68.0,8.0,65,639,30,trump fans are collecting the personal info of thousands on the left comments
145269,48398,151,3,11,2,0,2,1,1,78,8,78.0,8.0,64,645,30,new york shake shack to test out robotic personnel in blow to 15 minimum wage comments
147204,49043,155,3,11,3,0,3,1,1,53,8,53.0,8.0,70,687,30,2017 fantasy football quarterback rankings â week 5 comments
166182,55369,157,3,11,2,0,2,1,1,45,8,45.0,8.0,70,694,31,for second week in row jets youngsters shine comments
137640,45855,147,3,11,2,0,2,1,1,48,8,48.0,8.0,64,633,30,eric trump national anthem should be kept sacred comments
137640,45855,147,3,11,2,0,2,1,1,48,8,48.0,8.0,64,633,30,eric trump national anthem should be kept sacred comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
77678,38802,48,0,5,2,0,2,2,1,52,29,26.0,29.0,16,307,29,hand feeding humming birds amazing the woman in these photos mary hartfield from anchorage alaska lives in what she calls a hummingbird fly zone hand feeding humming birds – amazing post navigation subscribe to our mailing list
157944,52623,157,3,13,3,0,3,1,2,88,51,88.0,25.5,72,697,35,las vegas bombshell video appears to show muzzleflash from 4th floor not 32nd video emigrate while you still can learn more comments
140499,46808,150,3,11,2,0,2,1,1,13,8,13.0,8.0,65,639,30,amazon rising comments
180144,60023,171,3,11,2,0,2,1,1,52,8,52.0,8.0,72,708,33,why dont you just hand the indians the trophy joe comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
160323,53416,151,3,11,6,0,6,1,1,108,8,108.0,8.0,67,680,32,103 trspnc park era bucs win a couple lose a couple playoff games roberto pops finales game stories comments
139881,46602,149,3,11,2,0,2,1,1,58,8,58.0,8.0,65,639,30,vegas mass shooter was verbally abusive towards girlfriend comments
144894,48273,148,3,11,2,0,2,1,1,63,8,63.0,8.0,65,638,30,chicago cubs accomplish rare franchise feat with nl central win comments
137703,45876,147,3,11,2,0,2,1,1,55,8,55.0,8.0,64,633,30,president trump says las vegas shooting live updates comments
156729,52218,157,3,11,2,0,2,1,1,21,8,21.0,8.0,64,662,30,nowhere to go but up comments
158553,52826,150,3,11,5,0,5,1,1,73,8,73.0,8.0,66,666,32,108 hbd tom donie danny catfish spanky hans 2 cannonball coming comments
179931,59952,171,3,11,2,0,2,1,1,33,8,33.0,8.0,64,729,33,ravens again abandon running game comments
179250,59725,168,3,13,3,0,3,1,1,11,8,11.0,8.0,76,760,34,yankee burn comments
76942,38434,43,0,5,2,0,2,2,1,94,29,47.0,29.0,12,299,31,police are looking for these 2 creepy masked figures that appeared in the woods police are urging people on social media to share this photo and video police are looking for these 2 creepy masked figures that appeared in the woods post navigation subscribe to our mailing list
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
141579,47168,150,3,11,2,0,2,1,1,54,8,54.0,8.0,65,639,30,sold out the underground economy of supreme resellers comments
144786,48237,150,3,11,2,0,2,1,1,30,8,30.0,8.0,64,644,30,jacoby jones to retire a raven comments
184920,61615,173,3,11,2,0,2,1,1,22,8,22.0,8.0,67,701,33,ravens lay another egg comments
144144,48023,155,3,11,2,0,2,1,1,39,8,39.0,8.0,64,646,31,ray says he was praying not protesting comments
138717,46214,149,3,11,2,0,2,1,1,61,8,61.0,8.0,65,639,30,trump’s cabinet travels in style at the expense of tax payers comments
140169,46698,149,3,11,2,0,2,1,1,59,8,59.0,8.0,65,639,30,after alleged moron remark tillerson strokes trumps ego comments
148473,49466,153,3,11,2,0,2,1,1,78,8,78.0,8.0,65,656,30,california clothing store ownerâs trump as nazi billboard backfires big time comments
165657,55194,150,3,11,2,0,2,1,1,51,8,51.0,8.0,65,647,31,how to make money while playing video games online comments
72312,36119,40,0,5,2,0,2,3,1,191,29,63.666666666666664,29.0,13,279,29,mommy signed her up for preschool her ‘rundown’ of the day has the internet in laughter mommy signed her up for preschool her ‘rundown’ of the day has the internet in laughter post navigation subscribe to our mailing list
154674,51533,150,3,11,5,0,5,1,1,114,8,114.0,8.0,66,668,32,929 from the 50s forward hbd ken teke takes two alou 2 browns 6inarow cutch walks it off giants finale comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
142233,47386,150,3,11,2,0,2,1,1,28,8,28.0,8.0,64,654,31,ravens raiders – wednesday comments
174996,58307,156,3,17,3,0,3,1,1,99,8,99.0,8.0,80,749,35,las vegas massacre thought provoking no conclusive evidence or information about this shooting comments
149046,49657,155,3,11,2,0,2,1,1,77,8,77.0,8.0,64,658,30,spacex bfr will go from any city to any other city on earth in under an hour comments
145092,48339,155,3,11,2,0,2,1,1,35,8,35.0,8.0,65,652,30,trickle down taxation – af branco comments
139917,46614,149,3,11,2,0,2,1,1,59,8,59.0,8.0,65,639,30,trump on gun violence ‘we’re not going to talk about that’ comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
154209,51378,150,3,11,5,0,5,1,1,93,8,93.0,8.0,66,667,32,101 happenings hbd specs jim vance max swipes 51 oconnell deal danny quits more comments
149211,49712,155,3,11,2,0,2,1,1,37,8,37.0,8.0,64,657,30,trump to visit puerto rico on tuesday comments
139902,46609,149,3,11,2,0,2,1,1,70,8,70.0,8.0,65,639,30,neonazi dennis mothersbaugh proudly wears ‘god guns trump’ tshirt comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
139875,46600,149,3,11,2,0,2,1,1,62,8,62.0,8.0,65,639,30,un allegedly nixed a report that predicted the rohingya crisis comments
151188,50371,151,3,11,2,0,2,1,1,33,8,33.0,8.0,64,653,30,ravens’ problems start at the top comments
158340,52755,151,3,11,2,0,2,1,1,65,8,65.0,8.0,65,645,31,lambeau field has become a house of horrors for the chicago bears comments
157860,52595,155,3,11,2,0,2,1,1,39,8,39.0,8.0,64,684,31,now a sitcom about an illegal family comments
157260,52395,157,3,11,2,0,2,1,1,110,8,110.0,8.0,65,710,38,podcast â hokiesmashasd talkinaccsports talk fbi investigation and acc footballnetwork with anishespn comments
214590,71505,172,3,11,2,0,2,1,1,51,8,51.0,8.0,65,1064,33,the durham bulls in 2017 â part 3 â the hitters comments
137703,45876,147,3,11,2,0,2,1,1,55,8,55.0,8.0,64,633,30,president trump says las vegas shooting live updates comments
143544,47823,153,3,11,2,0,2,1,1,60,8,60.0,8.0,64,651,30,trump tells reporters ‘the flag has to be respected’ video comments
157242,52389,157,3,11,2,0,2,1,1,110,8,110.0,8.0,65,710,38,podcast â hokiesmashasd talkinaccsports talk fbi investigation and acc footballnetwork with anishespn comments
178908,59611,162,3,11,2,0,2,1,1,31,8,31.0,8.0,64,725,35,london no cup o’ tea for oline comments
145947,48624,155,3,11,2,0,2,1,1,58,8,58.0,8.0,67,655,31,playing with heavy heart jetsâ ealy dominates on dline comments
1314,421,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
138201,46042,147,3,11,2,0,2,1,1,68,8,68.0,8.0,64,635,30,where is the relief money for texas hurricane victims please share comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
150048,49991,156,3,11,3,0,3,1,1,54,8,54.0,8.0,70,704,30,2017 fantasy football running back rankings â week 4 comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
147492,49139,148,3,11,2,0,2,1,1,48,8,48.0,8.0,65,642,31,how would you feel about this blackhawks lineup comments
151245,50390,159,3,11,2,0,2,1,1,77,8,77.0,8.0,68,667,32,ole smoky tennessee moonshine becomes a proud sponsor of the tennessee titans comments
146859,48928,152,3,11,3,0,3,1,1,64,8,64.0,8.0,64,660,31,president donald trump’s schedule for friday september 29 2017 comments
160479,53468,156,3,11,2,0,2,1,1,31,8,31.0,8.0,68,695,32,fantasy football week 4 advice comments
164544,54823,148,3,11,2,0,2,1,1,110,8,110.0,8.0,65,673,32,10 important stories from 092417 box scores devers delivering andersongiolito are regression risks more comments
139830,46585,149,3,11,2,0,2,1,1,59,8,59.0,8.0,65,639,30,cam newton laughs at female reporter talking about football comments
139491,46472,149,3,11,2,0,2,1,1,45,8,45.0,8.0,65,639,30,active shooter reported near las vegas casino comments
139635,46520,149,3,11,2,0,2,1,1,64,8,64.0,8.0,65,639,30,snl pushes for gun control ‘this shouldn’t be a partisan issue’ comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
152520,50815,154,3,11,2,0,2,1,1,60,8,60.0,8.0,68,668,31,are the niners ready to turn the corner only time will tell comments
146379,48768,152,3,13,3,0,3,1,1,59,8,59.0,8.0,70,665,32,australia successfully reformed gun laws why can’t the us comments
142050,47325,150,3,11,2,0,2,1,1,30,8,30.0,8.0,64,652,31,ravens vs steelers – thursday comments
141825,47250,151,3,11,2,0,2,1,1,34,8,34.0,8.0,64,645,30,white house press briefing 10517 comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
199824,66583,176,3,11,2,0,2,1,1,54,8,54.0,8.0,77,820,33,if the yanks do these things they can beat the tribe comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
144144,48023,155,3,11,2,0,2,1,1,39,8,39.0,8.0,64,646,31,ray says he was praying not protesting comments
165663,55196,154,3,11,3,0,3,1,1,87,8,87.0,8.0,65,720,34,start âem or sit âem 2017 week 4 dak prescott chris carson ty hilton more comments
139884,46603,149,3,11,2,0,2,1,1,69,8,69.0,8.0,65,639,30,in trumps america white families 10 times wealthier than black ones comments
139410,46445,149,3,11,2,0,2,1,1,59,8,59.0,8.0,65,639,30,video shows utah cop fatally shooting black man from behind comments
139329,46418,149,3,11,2,0,2,1,1,57,8,57.0,8.0,65,639,30,danish minister republishes controversial prophet cartoon comments
139971,46632,149,3,11,2,0,2,1,1,66,8,66.0,8.0,65,639,30,teacher told students they were ‘too darkskinned’ to play lincoln comments
145089,48338,151,3,11,2,0,2,1,1,85,8,85.0,8.0,64,645,30,puerto rican police officer san juan mayor not allowing distribution of aid supplies comments
142059,47328,150,3,11,2,0,2,1,1,31,8,31.0,8.0,64,652,31,ravens vs steelers – wednesday comments
149565,49830,152,3,11,2,0,2,1,1,50,8,50.0,8.0,65,688,33,blue ribbon preseason top 25 includes six from acc comments
154209,51378,150,3,11,5,0,5,1,1,68,8,68.0,8.0,66,661,32,103 expo parkforbes field era pirates grays ws win game stories comments
162144,54023,161,3,11,2,0,2,1,1,19,8,19.0,8.0,69,709,33,jeet feels the heat comments
139887,46604,149,3,11,2,0,2,1,1,69,8,69.0,8.0,65,639,30,in trumps america white families 10 times wealthier than black ones comments
139830,46585,149,3,11,2,0,2,1,1,59,8,59.0,8.0,65,639,30,cam newton laughs at female reporter talking about football comments
139851,46592,149,3,11,2,0,2,1,1,60,8,60.0,8.0,65,639,30,will security measures change in response to mass shootings comments
183966,61297,168,3,11,2,0,2,1,1,61,8,61.0,8.0,82,715,32,passing game film review â good mccown â week 4 jaguars comments
149208,49711,155,3,11,2,0,2,1,1,52,8,52.0,8.0,68,700,32,forte leggett out shell doubtful â injury report comments
140130,46685,149,3,11,2,0,2,1,1,44,8,44.0,8.0,65,639,30,air force academy head to racists get out comments
154404,51443,163,3,11,3,0,3,1,1,38,8,38.0,8.0,70,696,30,2017 fantasy football week 4 sleepers comments
141948,47291,152,3,11,2,0,2,1,1,33,8,33.0,8.0,64,646,30,bloody luck – af branco cartoon comments
143646,47857,156,3,11,2,0,2,1,1,69,8,69.0,8.0,67,649,30,steelers ring the bell 35 times in huge 269 road win over the ravens comments
149940,49955,157,3,11,2,0,2,1,1,50,8,50.0,8.0,65,657,32,around the acc blogosphere for september 21 2017 comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
144045,47990,148,3,11,3,0,3,1,1,62,8,62.0,8.0,64,654,32,buy ‘em or deny ‘em is chris johnson a worthy fantasy option comments
537,162,0,0,0,0,0,0,1,0,13,0,13.0,0.0,0,8,7,403 forbidden
208467,69464,180,3,11,3,0,3,1,1,52,8,52.0,8.0,68,750,32,the durham bulls in 2017 â part 2 â the pitchers comments
139575,46500,149,3,11,2,0,2,1,1,65,8,65.0,8.0,65,639,30,trump is so busy bashing nfl he forgot to hire a science adviser comments
149496,49807,155,3,11,2,0,2,1,1,15,8,15.0,8.0,68,662,31,trends to watch comments
145086,48337,151,3,11,2,0,2,1,1,82,8,82.0,8.0,64,645,30,scorned alabama crimson tide now on mission to destroy ncaa with extreme prejudice comments
157260,52395,157,3,11,2,0,2,1,1,110,8,110.0,8.0,65,710,38,podcast â hokiesmashasd talkinaccsports talk fbi investigation and acc footballnetwork with anishespn comments
1317,422,0,0,0,0,0,0,1,0,19,0,19.0,0.0,0,10,8,error 403 forbidden
155226,51717,150,3,11,5,0,5,1,1,104,8,104.0,8.0,66,667,32,104 trspnc park era reds thump buc 3x in playoffs cole beats cards bucs clich in 15 syd jr axed comments
139635,46520,149,3,11,2,0,2,1,1,64,8,64.0,8.0,65,639,30,snl pushes for gun control ‘this shouldn’t be a partisan issue’ comments
139908,46611,149,3,11,2,0,2,1,1,69,8,69.0,8.0,65,639,30,trump mocks puerto rico in hispanic heritage speech — it was horrible comments
139569,46498,149,3,11,2,0,2,1,1,67,8,67.0,8.0,65,639,30,woman throws drink on lakers fans who took a knee during the anthem comments
139302,46409,149,3,11,2,0,2,1,1,63,8,63.0,8.0,65,639,30,on snl alec baldwin’s trump calls san juan mayor “nasty woman” comments
140202,46709,149,3,11,2,0,2,1,1,60,8,60.0,8.0,65,639,30,austrias islamophobic burqa ban criminalizes muslim women comments
164790,54905,151,3,11,6,0,6,1,1,86,8,86.0,8.0,67,680,32,101 trspnc era wildcard win trs closes freddy takes crown lockes 1st win more comments
138525,46150,148,3,11,2,0,2,2,1,110,8,55.0,8.0,64,635,30,10 shocking facts about porn you probably didnât know 10 shocking facts about porn you probably didnât know comments
151224,50383,150,3,11,3,0,3,1,1,53,8,53.0,8.0,66,664,32,bucs take it to last strike in 41 neversaydie win comments
141117,47014,148,3,11,2,0,2,1,1,98,8,98.0,8.0,64,635,30,equifax hack is this how they roll out the implantable rfid chip to every person in usa or world comments
162450,54125,155,3,11,2,0,2,1,1,48,8,48.0,8.0,67,672,32,chicago bears receiving core struggling early on comments
164997,54974,159,3,11,2,0,2,1,1,33,8,33.0,8.0,64,675,33,restructures for several veterans comments
73290,36608,42,0,5,2,0,2,2,1,67,29,33.5,29.0,13,287,30,5 of the worst plastic surgeries you have ever seen 5 of the worst plastic surgeries you have ever seen post navigation subscribe to our mailing list
153957,51294,168,3,11,2,0,2,1,1,82,8,82.0,8.0,64,675,31,bullpen notes september 25 2017 barraclough gets save familia’s outlook more comments
